source_name,normalized_name,ecount_customer_code,ecount_customer_name,channel_group,source_row,is_active
11번가,11번가,AC008621,11번가,,2,true
1300K,1300k,AC009186,(주)천삼백케이 (엔에이치엔위투 주식회사),,3,true
cafe24카드결제,cafe24카드결제,AC009143,오로라몰-카드,,4,true
cafe24에스크로(실시간계좌이체),cafe24에스크로실시간계좌이체,AC009143,오로라몰-카드,,5,true
cafe24현금결제,cafe24현금결제,AC009144,오로라몰-현금,,6,true
GS shop,gsshop,AC009302,(주)지에스홈쇼핑,,7,true
WIZWID,wizwid,위즈위드,(주)위즈위드,,8,true
롯데닷컴,롯데닷컴,AC008566,(주)롯데닷컴,,9,true
바보사랑,바보사랑,AC009244,주식회사 웹이즈(바보사랑),,10,true
스마트웰,스마트웰,6378800246,(주)스마트웰,,11,true
스마트스토어,스마트스토어,AC008712,샵N,,12,true
신세계몰(신),신세계몰신,AC009284,(주)신세계 신세계몰,,13,true
㈜이마트몰,이마트몰,2068650913,(주)이마트 이마트몰,,14,true
아민코리아,아민코리아,AC008896,(주)아민코리아,,15,true
옥션,옥션,AC008600,(주)이베이옥션,,16,true
위메프(신),위메프신,W00022,위메프,,17,true
이마트(신),이마트신,AC009284,(주)신세계 신세계몰,,18,true
인터파크,인터파크,AC008603,(주)인터파크INT,,19,true
지마켓,지마켓,AC008798,지마켓,,20,true
쿠팡,쿠팡,C00017,쿠팡,,21,true
큐텐JP,큐텐jp,Q00064,이베이큐텐JP,,22,true
텐바이텐,텐바이텐,AC009196,(주)텐바이텐,,23,true
티몬,티몬,AC008861,(주)티켓몬스터,,24,true
후추통,후추통,AC009251,루켄로프트 유한회사 (후추통),,25,true
큐텐SG,큐텐sg,Q00065,큐텐SG,,26,true
쿠팡로켓배송,쿠팡로켓배송,쿠팡로켓배송,쿠팡로켓배송,,27,true
네이버 페이,네이버페이,00083,네이버페이,,28,true
인터파크비즈마켓,인터파크비즈마켓,AC009285,(주)인터파크비즈마켓,,29,true
아세테크,아세테크,2138624086,아세테크,,30,true
오너클랜,오너클랜,1228625760,오너클랜,,31,true
카카오톡스토어,카카오톡스토어,8918800985,(주)카카오커머스,,32,true
롯데온,롯데온,5298500774,롯데쇼핑(주)e커머스사업본부,,33,true
POOM,poom,AC009277,(주)아트박스,,34,true
아트박스(신),아트박스신,AC009277,(주)아트박스,,35,true
이지웰,이지웰,1018190575,이지웰 주식회사,,36,true
브랜디,브랜디,2208893187,주식회사 브랜디,,37,true
호남센터,호남센터,4108527538,(주)현대그린푸드 호남센터,폐쇠몰,39,true
영남센터,영남센터,6158527394,(주)현대그린푸드 영남센터,폐쇠몰,40,true
경인센터,경인센터,1248531373,(주)현대그린푸드 경인센터,폐쇠몰,41,true
베네피아,베네피아,2208176893,에스케이엠앤서비스 주식회사,폐쇠몰,42,true
온채널,온채널,2018637410,㈜온채널,도매몰,43,true
도매꾹,도매꾹,00099,(주)지앤지커머스(도매꾹),도매몰,44,true
컴퓨존,컴퓨존,00068,(주)컴퓨존,도매몰,45,true
(주)베이스캠프씨엔엠,주베이스캠프씨엔엠,1068658482,(주)베이스캠프씨엔엠,윈윈프라이스,46,true
(주)원영씨앤씨,주원영씨앤씨,4938800933,(주)원영씨앤씨,윈윈프라이스,47,true
(주)위젤,주위젤,4148800930,(주)위젤,윈윈프라이스,48,true
(주)의영시스템,주의영시스템,5198800249,(주)의영시스템,윈윈프라이스,49,true
(주)제이디지탈,주제이디지탈,5578601076,(주)제이디지탈,윈윈프라이스,50,true
(주)컴비아,주컴비아,8378101263,(주)컴비아,윈윈프라이스,51,true
(주)포베이스,주포베이스,2238118140,(주)포베이스,윈윈프라이스,52,true
다와시스,다와시스,6558101282,다와시스,윈윈프라이스,53,true
동아아이티,동아아이티,692-34-00352,동아아이티,윈윈프라이스,54,true
디지탈 프라이스,디지탈프라이스,7175100060,디지탈 프라이스,윈윈프라이스,55,true
리플레이 씨앤씨,리플레이씨앤씨,2010928512,리플레이 씨앤씨,윈윈프라이스,56,true
밀알시스템,밀알시스템,1065189509,밀알시스템,윈윈프라이스,57,true
산다go,산다go,7486300219,산다go,윈윈프라이스,58,true
서윤컴퓨터 주식회사,서윤컴퓨터주식회사,4658801392,서윤컴퓨터 주식회사,윈윈프라이스,59,true
씨씨엘컴,씨씨엘컴,5584500403,씨씨엘컴,윈윈프라이스,60,true
애나콘 주식회사,애나콘주식회사,4498701087,애나콘 주식회사,윈윈프라이스,61,true
엠지컴퓨터,엠지컴퓨터,1061014913,엠지컴퓨터,윈윈프라이스,62,true
오션,오션,3181801211,오션,윈윈프라이스,63,true
올템스토어,올템스토어,6182454448,올템스토어,윈윈프라이스,64,true
와이에스비투비,와이에스비투비,1060251363,와이에스비투비,윈윈프라이스,65,true
이니드,이니드,5035803400,이니드,윈윈프라이스,66,true
이한팩토리,이한팩토리,4215300260,이한팩토리,윈윈프라이스,67,true
좋은친구들,좋은친구들,5293500124,좋은친구들,윈윈프라이스,68,true
주식회사 네트워크 다모일,주식회사네트워크다모일,1068649251,주식회사 네트워크 다모일,윈윈프라이스,69,true
주식회사 데프트파트너,주식회사데프트파트너,2938701596,주식회사 데프트파트너,윈윈프라이스,70,true
주식회사 매니악,주식회사매니악,1068702379,주식회사 매니악,윈윈프라이스,71,true
주식회사 에스제이디지텍,주식회사에스제이디지텍,1068681023,주식회사 에스제이디지텍,윈윈프라이스,72,true
주식회사 에스티테크놀로지이노베이션,주식회사에스티테크놀로지이노베이션,2188701130,주식회사 에스티테크놀로지이노베이션,윈윈프라이스,73,true
주식회사 엑스퍼캠프,주식회사엑스퍼캠프,781-88-01090,주식회사 엑스퍼캠프,윈윈프라이스,74,true
주식회사 윈윈소프트,주식회사윈윈소프트,1068707675,주식회사 윈윈소프트,윈윈프라이스,75,true
주식회사 플레이몰,주식회사플레이몰,5188800509,주식회사 플레이몰,윈윈프라이스,76,true
주식회사 피씨사자,주식회사피씨사자,1068679395,주식회사 피씨사자,윈윈프라이스,77,true
지케이시스템 (GK SYSTEM),지케이시스템gksystem,1061286124,지케이시스템 (GK SYSTEM),윈윈프라이스,78,true
컴샷정보,컴샷정보,1060754123,컴샷정보,윈윈프라이스,79,true
컴스웨이,컴스웨이,6708600180,컴스웨이,윈윈프라이스,80,true
컴스클럽닷컴(주),컴스클럽닷컴주,5158800946,컴스클럽닷컴(주),윈윈프라이스,81,true
타운컴,타운컴,1061251547,타운컴,윈윈프라이스,82,true
(주)현대홈쇼핑,주현대홈쇼핑,2118676540,,종합몰,83,true
현대홈쇼핑(신),현대홈쇼핑신,2118676540,,종합몰,84,true
11번가(구),11번가구,AC008621,11번가,,85,true
오늘의집,오늘의집,1198691245,,,88,true
집꾸미기,집꾸미기,1428150856,,,90,true
집꾸미기(3),집꾸미기3,1428150856,,,91,true
카카오톡선물하기,카카오톡선물하기,8918800985-2,,,93,true
"카카오스타일 (지그재그, 포스티)",카카오스타일지그재그포스티,2148891525,,,95,true
에이블리,에이블리,1648700149,,,97,true
카카오선물하기,카카오선물하기,8918800985-2,,,99,true
G마켓,g마켓,AC008798,지마켓,,102,true
리큐엠_스마트스토어,리큐엠스마트스토어,AC008712,샵N,,103,true
위메프,위메프,W00022,위메프,,104,true
지그재그(API),지그재그api,2148891525,,,105,true
무신사,무신사,2118879575-2,,,109,true
29CM,29cm,2118879575,,,110,true
마켓컬리,마켓컬리,2618123567,,,112,true
이제너두,이제너두,1048156237,,,113,true
한섬 EQL,한섬eql,1208126337,,,114,true
삼성카드 쇼핑몰,삼성카드쇼핑몰,2028145602,,,115,true
삼성카드 복지몰,삼성카드복지몰,2028145602-2,,,116,true
W컨셉,w컨셉,2118819183,,,117,true
SSF,ssf,1018543600,,,118,true
모트모트,모트모트,5808600984,,,122,true
교보문고,교보문고,00274,,,125,true
